k_rondas,probabilidad_error,certeza_porcentaje
1,0.5000000000,50.00000
2,0.2500000000,75.00000
3,0.1250000000,87.50000
4,0.0625000000,93.75000
5,0.0312500000,96.87500
6,0.0156250000,98.43750
7,0.0078125000,99.21875
8,0.0039062500,99.60938
9,0.0019531250,99.80469
10,0.0009765625,99.90234
11,0.0004882812,99.95117
12,0.0002441406,99.97559
13,0.0001220703,99.98779
14,0.0000610352,99.99390
15,0.0000305176,99.99695
16,0.0000152588,99.99847
17,0.0000076294,99.99924
18,0.0000038147,99.99962
19,0.0000019073,99.99981
20,0.0000009537,99.99990
